"137","Iron Maiden","Brave New World","153.43676757","67.031"
"138","Iron Maiden","Dance Of Death","155.80027866","68.05931666"
"139","Iron Maiden","Fear Of The Dark","134.22978019","58.63216666"
"140","Iron Maiden","Iron Maiden","56.02837848","40.7823"
"141","Iron Maiden","Killers","53.21018505","38.72818333"
"142","Iron Maiden","Live After Death","133.42660045","97.13093333"
"143","Iron Maiden","Live At Donington 1992 (Disc 1)","71.12417984","51.76023333"
"144","Iron Maiden","Live At Donington 1992 (Disc 2)","82.92901992","60.35628333"
"145","Iron Maiden","No Prayer For The Dying","40.4903059","44.20955"
"146","Iron Maiden","Piece Of Mind","42.02441787","45.8814"
"147","Iron Maiden","Powerslave","69.52514743","50.6052"
"148","Iron Maiden","Rock In Rio [CD1]","129.20634841","56.44313333"
"149","Iron Maiden","Rock In Rio [CD2]","136.76497936","59.74588333"
"150","Iron Maiden","Seventh Son of a Seventh Son","60.48584747","44.02975"
"151","Iron Maiden","Somewhere in Time","70.61758708","51.40631666"
"152","Iron Maiden","The Number of The Beast","39.53509044","40.23025"
"153","Iron Maiden","The X Factor","162.82194423","71.13001666"
"154","Iron Maiden","Virtual XI","121.88001155","53.24358333"
"155","Itzhak Perlman","Great Recordings of the Century: Paganini's 24 Caprices","4.16901874","4.42568333"
"156","James Brown","Sex Machine","132.95557975","70.18736666"
"157","James Levine","Mascagni: Cavalleria Rusticana","3.81591415","4.05726666"
"158","Jamiroquai","Emergency On Planet Earth","106.4334383","55.45351666"
"159","Jamiroquai","Synkronized","101.52372264","53.01106666"
"160","Jamiroquai","The Return Of The Space Cowboy","126.07893753","66.1254"
"161","JET","Get Born","90.83839035","48.66383333"
"162","Jimi Hendrix","Are You Experienced?","112.47822666","60.30093333"
"163","Jo Suplicy","Cafezinho","97.94358444","51.09538333"
"164","Joe Satriani","Surfing with the Alien (Remastered)","36.40478897","37.66206666"
"165","Jorge Ben","Jorge Ben Jor 25 Anos","144.5204153","76.18775"
"166","Jota Quest","Jota Quest-1995","95.66209125","50.27258333"
"167","Judas Priest","Living After Midnight","123.89553642","66.21851666"
"168","Julian Bream","JS Bach: Chaconne. Suite in E Minor. Partita in E Major & Prelude. Fugue and Allegro","4.52511692","4.76121666"
"169","Karsh Kale","Realize","10.83522891","11.55345"
"170","Kent Nagano and Orchestre de l'Opéra de Lyon","Weill: The Seven Deadly Sins","5.84520912","6.27516666"
"171","Kiss","Greatest Kiss","143.00044441","76.25041666"
"172","Kiss","Unplugged [Live]","106.73828315","56.75613333"
"173","Led Zeppelin","BBC Sessions [Disc 1] [Live]","139.44148826","74.832"
"174","Led Zeppelin","BBC Sessions [Disc 2] [Live]","144.91010761","78.31846666"
"175","Led Zeppelin","Coda","61.7633953","33.01871666"
"176","Led Zeppelin","Houses Of The Holy","76.43784618","40.90725"
"177","Led Zeppelin","In Through The Out Door","80.11684703","42.5913"
"178","Led Zeppelin","IV","79.71774578","42.62436666"
"179","Led Zeppelin","Led Zeppelin I","83.97358703","44.83998333"
"180","Led Zeppelin","Led Zeppelin II","78.35630989","41.64781666"
"181","Led Zeppelin","Led Zeppelin III","81.03013992","43.00315"
"182","Led Zeppelin","Physical Graffiti [Disc 1]","73.2897005","39.08088333"
"183","Led Zeppelin","Physical Graffiti [Disc 2]","81.57840347","43.65925"
"184","Led Zeppelin","Presence","83.55164718","44.47688333"
"185","Led Zeppelin","The Song Remains The Same (Disc 1)","91.17588424","49.06618333"
"186","Led Zeppelin","The Song Remains The Same (Disc 2)","94.6915903","50.62398333"
"187","Legi Urbana","A TempestadeTempestade Ou O Livro Dos Dias","126.65604209","67.04181666"
"188","Legi Urbana","Mais Do Mesmo","130.45695495","69.07245"
"189","Lenny Kravitz","Greatest Hits","472.47432804","251.09551666"
"190","Leonard Bernstein & New York Philharmonic","Great Performances - Barber's Adagio and Other Romantic Favorites for Strings","9.14153766","9.94198333"
"191","Les Arts Florissants & William Christie","Charpentier: Divertissements. Airs & Concerts","1.88213253","1.83776666"
"192","London Symphony Orchestra & Sir Charles Mackerras","Tchaikovsky: The Nutcracker","4.94412326","5.07043333"
"193","Lost","Lost. Season 1","5036.26809501","1080.9156"
"194","Lost","Lost. Season 2","11773.07216739","1054.82718333"
"195","Lost","Lost. Season 3","13272.86080455","1177.7597"
"196","Lost","LOST. Season 4","7351.61365699","657.80721666"
"197","Luciana Souza/Romero Lubambo","Duos II","2.64651393","2.8785"
"198","Luciano Pavarotti","Pavarotti's Opera Made Easy","2.78557777","2.94851666"
"199","Lulu Santos","Lulu Santos - RCA 100 Anos De Música - Álbum 01","99.45121192","52.56476666"
"200","Lulu Santos","Lulu Santos - RCA 100 Anos De Música - Álbum 02","104.67463874","55.241"
"201","Mônica Marianno","Demorou","83.39583778","44.09503333"
"202","Mötley Crüe","Motley Crue Greatest Hits","138.2712984","73.91941666"
"203","Marcos Valle","Chill: Brazil (Disc 1)","118.1095829","61.68843333"
"204","Marillion","Misplaced Childhood","77.40110301","41.2895"
"205","Marisa Monte","Barulhinho Bom","108.35111045","57.23021666"
"206","Martin Roscoe","Szymanowski: Piano Works. Vol 1","5.29170513","5.56115"
"207","Marvin Gaye","Seek And Shall Find: More Of The Best (1963-1981)","109.02901268","58.13536666"
"208","Maurizio Pollini","Beethoven Piano Sonatas: Moonlight & Pastorale","6.02602005","6.51666666"
"209","Mela Tenenbaum. Pro Musica Prague & Richard Kapp","Locatelli: Concertos for Violin. Strings and Continuo. Vol 3","15.69265079","8.22621666"
"210","Men At Work","The Best Of Men At Work","81.53926372","43.37973333"
"211","Metallica","And Justice For All","123.11698436","65.48321666"
"212","Metallica","Black Album","116.79156494","62.65373333"
"213","Metallica","Garage Inc (Disc 1)","122.99060344","65.77231666"
"214","Metallica","Garage Inc (Disc 2)","132.45291996","70.86488333"
"215","Metallica","Kill 'Em All","95.6019001","51.34753333"
"216","Metallica","Load","147.73795604","78.97675"
"217","Metallica","Master Of Puppets","102.33414649","54.76958333"
"218","Metallica","ReLoad","142.27870464","76.10506666"
"219","Metallica","Ride The Lightning","88.91918754","47.51146666"
"220","Metallica","St Anger","140.25525188","75.11761666"
"221","Michael Tilson Thomas & San Francisco Symphony","Berlioz: Symphonie Fantastique","8.74838256","9.36611666"
"222","Michael Tilson Thomas & San Francisco Symphony","Prokofiev: Romeo & Juliet","4.30988216","4.58358333"
"223","Michele Campanella","Liszt - 12 Atitudes D'Execution Transcendante","2.12632846","0.863"
"224","Miles Davis","Miles Ahead","96.51655483","52.23738333"
"225","Miles Davis","The Essential Miles Davis [Disc 1]","142.7619934","76.62616666"
"226","Miles Davis","The Essential Miles Davis [Disc 2]","137.94368076","73.31346666"
"227","Milton Nascimento","Milton Nascimento Ao Vivo","88.06085586","46.92105"
"228","Milton Nascimento","Minas","97.1362152","51.71406666"
"229","Motörhead","Ace Of Spades","85.08848285","45.59138333"
"230","Nash Ensemble","Mozart: Chamber Music","3.49532508","3.68885"
"231","Nicolaus Esterhazy Sinfonia","The Best of Beethoven","5.54772949","5.94043333"
"232","Nirvana","From The Muddy Banks Of The Wishkah [Live]","100.97515201","54.05635"
"233","Nirvana","Nevermind","79.39568233","42.61776666"
"234","O Rappa","Radio Brasil (O Som da Jovem Vanguarda) - Seleccao de Henrique Amaro","168.98430347","73.81405"
"235","O Terço","Compositores","112.02156162","59.91085"
"236","Olodum","Olodum","95.51181888","50.33046666"
"237","Orchestra of The Age of Enlightenment","Bach: The Brandenburg Concertos","4.82993412","5.12073333"
"238","Orchestre Révolutionnaire et Romantique & John Eliot Gardiner","Beethoven: Symhonies Nos 5 & 6","6.12233161","6.54103333"
"239","Os Mutantes","Minha História","104.97649955","55.86578333"
"240","Os Paralamas Do Sucesso","Acústico MTV","142.74465084","75.3966"
"241","Os Paralamas Do Sucesso","Arquivo II","79.41651344","41.79713333"
"242","Os Paralamas Do Sucesso","Arquivo Os Paralamas Do Sucesso","114.21285533","60.25956666"
"243","Otto Klemperer & Philharmonia Orchestra","Beethoven: Symphony No 6 'Pastoral' Etc","10.38354015","5.65945"
"244","Ozzy Osbourne","Bark at the Moon (Remastered)","4.38806915","4.28753333"
"245","Ozzy Osbourne","Blizzard of Ozz","10.28101158","10.149"
"246","Ozzy Osbourne","Diary of a Madman (Remastered)","4.93965053","4.84751666"
"247","Ozzy Osbourne","No More Tears (Remastered)","11.1249485","11.59906666"
"248","Ozzy Osbourne","Speak of the Devil","64.71356487","70.25508333"
"249","Ozzy Osbourne","Tribute","135.69591903","72.88061666"
"250","Page & Plant","Walking Into Clarksdale","113.8364439","60.81733333"
"251","Passengers","Original Soundtracks 1","109.15708255","58.16153333"
"252","Paul D'Ianno","The Beast Live","78.64315223","42.46025"
"253","Pearl Jam","Live On Two Legs [Live]","133.57001781","71.3159"
"254","Pearl Jam","Pearl Jam","93.08198165","49.73095"
"255","Pearl Jam","Riot Act","101.97100543","54.27446666"
"256","Pearl Jam","Ten","99.84566593","53.43118333"
"257","Pearl Jam","Vs","86.9611721","46.29456666"
"258","Philharmonia Orchestra & Sir Neville Marriner","Mendelssohn: A Midsummer Night's Dream","6.19684886","6.46376666"
"259","Philip Glass Ensemble","Koyaanisqatsi (Soundtrack from the Motion Picture)","3.15205001","3.43341666"
"260","Pink Floyd","Dark Side Of The Moon","80.24397468","42.8773"
"261","Planet Hemp","Os Ces Ladram Mas A Caravana NÃo Pára","93.37376022","49.45183333"
"262","Queen","Greatest Hits I","109.03900623","58.47536666"
"263","Queen","Greatest Hits II","142.34661102","75.97568333"
"264","Queen","News Of The World","73.3208971","39.3573"
"265","Raimundos","Cesta Básica","54.23235225","28.9745"
